Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Остапчук,Вікторія,Левівна,Жінка,1953.05.24,Фермер,село Бердянськ,"набережна Керченська, буд. 29 кв. 26, Мукачево, 19284",778 04 22,oksana12@example.net
Шведченко,Одарка,Васильович,Жінка,1962.03.17,Геолог,місто Бучач,"набережна 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 904, Миргород, 40444",+380 (45) 426-75-41,liashkoopanas@example.net
Гузій,Федір,Андронікович,Чоловік,1986.06.24,Візажист,селище Долина ,"провулок ім. К.Г. Паустовського, буд. 113, Знам'янка, 73935",+380 42 910-37-51,emiliiaorobets@example.org
Дурдинець,Михайло,Тимофіївна,Чоловік,1970.06.05,Біолог,селище Бібрка,"сквер Лобачевського, буд. 1 кв. 3, Дрогобич, 46526",015 927 39 01,tarasshakhrai@example.org
Гаєвський,Ілля,Всеславівна,Чоловік,2003.02.07,Модель,місто Стебник,"провулок Миколи Плигуна, буд. 24 кв. 2, Керч, 23672",+380 (46) 095-97-95,valentyna99@example.net
Чміль,Нестор,Федорович,Чоловік,1980.04.10,Біолог,хутір Кременчук,"узвіз Черняховського, буд. 6 кв. 32, Дубно, 55574",029 14 35,ebezditko@example.org
Архипенко,Орест,Глібівна,Чоловік,1994.09.13,Реставратор,місто Красилів,"набережна 8-ма Лінія Дачі Ковалевського, буд. 2 кв. 980, Шостка, 75403",749-41-66,hermanzaruba@example.org
Ященко,Яків,Миронівна,Чоловік,1998.09.22,Громадський діяч,хутір Рені,"вулиця Заводська 5-та, буд. 231 кв. 015, Щолкіне, 02315",+380 (65) 983-55-96,emiliiashvedchenko@example.com
Заєць,Алла,Леонідович,Жінка,1982.04.13,Музикознавець,місто Обухів,"узвіз Польова, буд. 863, Коростень, 95179",+380 (87) 118-11-42,iosypgalagan@example.org
Дубас,Богуслава,Зеновіївна,Жінка,1984.03.19,Хореограф,селище Горохів,"проспект Комітетська, буд. 59 кв. 9, Южноукраїнськ, 72803",014 234 70 65,stepan95@example.com
Чекалюк,Єлисавета,Семенівна,Жінка,1979.04.19,Скульптор,хутір Кремінна,"узвіз Шухевича Романа, буд. 27 кв. 673, Тернопіль, 25078",273 96 67,zaporozhetsmilena@example.net
Андрощук,Любов,Юріївна,Жінка,1968.05.15,Фотограф,село Гадяч,"сквер Мечникова, буд. 452, Борщів, 81573",+380 (15) 638-15-24,aaronshovkoplias@example.org
Колісниченко,Борис,Альбертівна,Чоловік,1967.11.27,Музикант,хутір Кропивницький,"набережна Амбулаторний 1-й, буд. 38, Очаків, 52399",+380 (27) 070-37-65,alevtynchupryna@example.org
Ватаманюк,Яків,Єфремівна,Чоловік,1962.10.24,Психолог,селище Білицьке,"парк Сумська, буд. 30 кв. 93, Попасна, 63119",+380 (29) 041-80-68,zasenkoieva@example.org
Засенко,Трохим,Антонович,Чоловік,1961.03.16,Етнограф,хутір Жовті Води,"вулиця Багрицького, буд. 6 кв. 896, Городня, 60455",063 864-75-77,valentyn51@example.org
Ґереґа,Георгій,Федорович,Чоловік,1963.07.17,Бухгалтер,село Горохів,"набережна Дежньова, буд. 0, Жидачів, 59452",+380 78 582-27-10,symonkhudobiak@example.net
Гузь,Юстим,Валентинівна,Чоловік,1964.05.07,Фермер,хутір Слов'янськ,"парк Аеропортівський 1-й, буд. 1 кв. 87, Полонне, 30331",066 581 80 78,vira99@example.com
Непорожній,Стефан,Симонівна,Чоловік,1954.12.09,Юрист,хутір Соледар,"вулиця Вертелецького, буд. 1, Харків, 09528",+380 19 958-68-99,lhabelko@example.net
Охріменко,Аніта,Андронімівна,Жінка,1952.08.01,Композитор,селище Тетіїв,"проспект Каманіна, буд. 0 кв. 720, Молодогвардійськ, 18770",090 689-56-80,havrylivfedir@example.org
Колесниченко,Ірина,Олексійович,Жінка,1967.12.12,Геофізик,місто Прип'ять ,"набережна Мусіна, буд. 2, Липовець, 85528",942 58 49,bohdanna32@example.org
Вакарчук,Валентина,Федосіївна,Жінка,1952.05.26,Локсмайстер,селище Рахів,"проспект Ризька, буд. 133 кв. 65, Бровари, 80899",881-02-44,kostiantyndavymuka@example.com
Гаврилець,Надія,Захарівна,Жінка,1982.04.11,Архітектор,селище Верхівцеве,"узвіз Єрмака, буд. 9 кв. 2, Гайсин, 78650",745 86 25,shutkotymofii@example.com
Таран,Павло,Агапіївна,Чоловік,1984.08.15,Мінералог,селище Ківерці,"площа Водопровідний 1-й, буд. 040 кв. 88, Новий Розділ, 18592",+380 87 073-98-15,zhurbaokseniia@example.com
Демʼяненко,Едуард,Іракліївна,Чоловік,2002.12.01,Режисер,селище Сокаль,"шосе Скляний 2-й, буд. 50, Славутич, 10621",+380 56 783-73-04,iaroslavalavrenko@example.net
Цимбал,Михайло,Володимирівна,Чоловік,1978.06.30,Кінокритик,селище Богуслав,"провулок Бучми, буд. 282 кв. 945, Копичинці, 59682",486 51 75,tymofiihodunok@example.net
Алексюк,Михайло,Анікітівна,Чоловік,1969.02.28,Стоматолог,селище Сновськ,"проспект Новгородський 2-й, буд. 953 кв. 8, Тиврів, 63753",073 134 45 52,mykhailyna41@example.com
Бабʼюк,Леопольд,Юстиніанівна,Чоловік,2006.01.17,Реставратор,хутір Рахів,"парк Капітана Кузнецова, буд. 1, Красилів, 20970",+380 (58) 614-00-94,tymofii91@example.net
Петренко,Владислав,Зосимівна,Чоловік,1963.09.25,Няня,село Буськ,"сквер Рівності, буд. 73, Коростень, 15880",+380 61 156-01-98,fudovenko@example.org
Рябченко,Розалія,Юхимович,Жінка,1982.05.07,Біолог,село Кропивницький,"площа Цимлянська, буд. 472, Тараща, 78330",+380 79 830-48-45,oleksandr60@example.net
Ніколюк,Богуслава,Дмитрович,Жінка,1970.12.13,Фермер,місто Новий Розділ,"парк Миколи Огренича, буд. 61, Дніпрорудне, 09418",066-64-82,odanchuk@example.net
Дробаха,Емілія,Юстиніанівна,Жінка,1980.05.09,Кухар,хутір Бершадь,"вулиця Іподромний, буд. 101 кв. 9, Славутич, 57936",006-49-72,oksanaderhach@example.com
Лупій,Ганна,Корнеліївна,Жінка,1960.08.31,Мікробіолог,хутір Вільногірськ,"набережна Десятого квітня, буд. 37 кв. 11, Авдіївка, 37969",+380 80 354 44 22,baidavenedykt@example.net
Александренко,Вадим,Агапіївна,Чоловік,1984.09.04,Інженер,хутір Сніжне,"узвіз Висоцького, буд. 009 кв. 123, Овруч, 14230",052 835 93 40,umanetsdaryna@example.org
Дробаха,Герман,Давидович,Чоловік,1991.04.15,Геофізик,місто Миколаїв,"парк Олександра Стурдзи, буд. 87 кв. 5, Іловайськ, 38768",054 717 82 37,hshvachko@example.net
Верхола,Гаврило,Амвросіївна,Чоловік,1994.09.24,Каскадер,село Гребінка,"провулок Дмитрія Донського, буд. 408 кв. 9, Луцьк, 94672",029 306 31 32,yiemelianenko@example.com
Шаповал,Зиновій,Дмитрович,Чоловік,1983.09.20,Ді-джей,селище Берестечко,"сквер Льва Толстого, буд. 3 кв. 427, Верхньодніпровськ, 89445",+380 30 287-36-90,bohdannagzhytskyi@example.org
Шевченко,Макар,Олексіївна,Чоловік,1967.09.16,Головний меркшейдер,місто Монастириська,"провулок Літакова, буд. 2 кв. 791, Рахів, 05829",098 011-98-92,viktoriia69@example.com
Єфименко,Герман,Макарович,Чоловік,1966.07.17,Електрик,селище Нікополь,"набережна Восьмого Березня Лінія 5-та, буд. 6, Любомль, 54850",681-71-45,darynatsymbal@example.com
Бабич,Ярослава,Ярославівна,Жінка,1982.11.11,Науковець,місто Біляївка,"вулиця Педагогічна, буд. 6, Золочів, 42973",054-41-89,orkhyp93@example.com
Оніщук,Оксана,Борисович,Жінка,1986.10.06,Кінорежисер,селище Богуслав,"сквер Хімічний 2-й, буд. 196, Ходорів, 11062",+380 (14) 579-13-99,vira22@example.net
